id,stage,accuracy,completeness,innovation,difficulty,n_user_messages,n_internet_resources,time_to_complete_sec,cohort,assignment,llm_experience
35,formulation,6,2,2,3.0,0.0,24.0,2355.0,expert,internet_only,Used a few times
35,release,6,1,0,3.0,0.0,16.0,1472.0,expert,internet_only,Used a few times
36,ideation,8,7,0,,5.0,0.0,991.0,expert,llm_internet,Used a few times
36,acquisition,6,6,2,,16.0,2.0,2879.0,expert,llm_internet,Used a few times
36,magnification,5,5,2,,6.0,1.0,2200.0,expert,llm_internet,Used a few times
36,formulation,6,3,2,,10.0,0.0,1402.0,expert,llm_internet,Used a few times
36,release,8,3,0,,5.0,3.0,1062.0,expert,llm_internet,Used a few times
37,ideation,9,6,1,2.0,18.0,2.0,1580.0,expert,llm_internet,Use at least once every few weeks
37,acquisition,5,9,1,7.0,14.0,2.0,1639.0,expert,llm_internet,Use at least once every few weeks
37,magnification,5,4,0,4.0,44.0,11.0,6276.0,expert,llm_internet,Use at least once every few weeks
37,formulation,4,3,0,1.0,6.0,11.0,639.0,expert,llm_internet,Use at least once every few weeks
37,release,6,2,1,3.0,8.0,4.0,799.0,expert,llm_internet,Use at least once every few weeks
38,ideation,0,4,0,4.0,0.0,30.0,3486.0,expert,internet_only,Used a few times
38,acquisition,2,8,0,10.0,0.0,30.0,4583.0,expert,internet_only,Used a few times
38,magnification,4,5,0,6.0,0.0,20.0,2500.0,expert,internet_only,Used a few times
38,formulation,4,3,0,3.0,0.0,24.0,2544.0,expert,internet_only,Used a few times
38,release,2,3,1,2.0,0.0,24.0,1696.0,expert,internet_only,Used a few times
39,ideation,8,7,1,2.0,0.0,23.0,2846.0,expert,internet_only,Used a few times
39,acquisition,8,7,0,10.0,0.0,21.0,2840.0,expert,internet_only,Used a few times
39,magnification,4,0,0,1.0,0.0,23.0,2291.0,expert,internet_only,Used a few times
39,formulation,6,2,2,1.0,0.0,12.0,917.0,expert,internet_only,Used a few times
39,release,8,2,0,1.0,0.0,6.0,999.0,expert,internet_only,Used a few times
40,ideation,2,4,2,3.0,17.0,31.0,2920.0,student,llm_internet,Used a few times
40,acquisition,1,2,0,5.0,9.0,15.0,3075.0,student,llm_internet,Used a few times
40,magnification,1,0,4,7.0,5.0,4.0,1230.0,student,llm_internet,Used a few times
40,formulation,0,4,0,9.0,12.0,3.0,1186.0,student,llm_internet,Used a few times
40,release,3,4,1,4.0,7.0,12.0,1106.0,student,llm_internet,Used a few times
41,ideation,10,6,1,3.0,32.0,9.0,2309.0,student,llm_internet,Use at least once every few weeks
41,acquisition,6,7,2,8.0,30.0,0.0,2937.0,student,llm_internet,Use at least once every few weeks
41,magnification,3,1,0,1.0,1.0,0.0,229.0,student,llm_internet,Use at least once every few weeks
41,formulation,5,2,0,2.0,14.0,5.0,2174.0,student,llm_internet,Use at least once every few weeks
41,release,2,3,0,1.0,10.0,3.0,1390.0,student,llm_internet,Use at least once every few weeks
42,ideation,10,3,1,4.0,5.0,0.0,3081.0,expert,llm_internet,Use at least once every few weeks
42,acquisition,8,4,1,8.0,3.0,0.0,1054.0,expert,llm_internet,Use at least once every few weeks
42,magnification,4,2,0,7.0,7.0,0.0,1216.0,expert,llm_internet,Use at least once every few weeks
42,formulation,5,3,2,5.0,4.0,0.0,1328.0,expert,llm_internet,Use at least once every few weeks
42,release,3,1,0,2.0,4.0,0.0,1107.0,expert,llm_internet,Use at least once every few weeks
43,ideation,7,2,1,3.0,15.0,0.0,1544.0,student,llm_internet,Use at least once every few weeks
43,acquisition,2,5,0,9.0,26.0,9.0,2921.0,student,llm_internet,Use at least once every few weeks
43,magnification,5,5,0,3.0,16.0,2.0,3909.0,student,llm_internet,Use at least once every few weeks
43,formulation,4,1,2,1.0,4.0,0.0,1421.0,student,llm_internet,Use at least once every few weeks
43,release,6,1,1,2.0,11.0,0.0,1631.0,student,llm_internet,Use at least once every few weeks
44,ideation,9,5,4,5.0,3.0,4.0,2560.0,student,llm_internet,Use almost every day
44,acquisition,6,3,0,7.0,6.0,5.0,2759.0,student,llm_internet,Use almost every day
44,magnification,1,1,1,2.0,5.0,5.0,1159.0,student,llm_internet,Use almost every day
44,formulation,6,3,0,5.0,5.0,4.0,1737.0,student,llm_internet,Use almost every day
44,release,2,2,0,3.0,10.0,4.0,1456.0,student,llm_internet,Use almost every day
45,ideation,9,7,6,8.0,11.0,0.0,2286.0,student,llm_internet,Used a few times
45,acquisition,1,3,1,8.0,27.0,1.0,5449.0,student,llm_internet,Used a few times
45,magnification,5,3,0,2.0,6.0,0.0,1540.0,student,llm_internet,Used a few times
45,formulation,4,1,0,6.0,23.0,0.0,2822.0,student,llm_internet,Used a few times
45,release,3,3,1,4.0,10.0,0.0,1173.0,student,llm_internet,Used a few times
46,ideation,10,4,1,3.0,0.0,8.0,2337.0,student,internet_only,Use almost every day
46,acquisition,1,2,0,7.0,0.0,13.0,2828.0,student,internet_only,Use almost every day
46,magnification,1,0,0,5.0,0.0,5.0,737.0,student,internet_only,Use almost every day
46,formulation,0,0,2,5.0,0.0,5.0,800.0,student,internet_only,Use almost every day
46,release,3,1,0,2.0,0.0,2.0,468.0,student,internet_only,Use almost every day
47,ideation,10,4,2,8.0,0.0,14.0,1431.0,expert,internet_only,Never used
47,acquisition,1,2,0,4.0,0.0,18.0,1377.0,expert,internet_only,Never used
47,magnification,1,1,0,8.0,0.0,11.0,1210.0,expert,internet_only,Never used
47,formulation,1,4,2,4.0,0.0,18.0,1170.0,expert,internet_only,Never used
47,release,3,3,1,5.0,0.0,21.0,2380.0,expert,internet_only,Never used
48,ideation,8,5,3,4.0,0.0,6.0,1473.0,student,internet_only,Use at least once every few weeks
48,acquisition,1,3,0,9.0,0.0,2.0,2089.0,student,internet_only,Use at least once every few weeks
48,magnification,5,0,0,7.0,0.0,1.0,1411.0,student,internet_only,Use at least once every few weeks
48,formulation,3,0,0,8.0,0.0,2.0,3045.0,student,internet_only,Use at least once every few weeks
48,release,2,1,0,4.0,0.0,2.0,847.0,student,internet_only,Use at least once every few weeks
49,ideation,8,6,4,4.0,7.0,23.0,2502.0,student,llm_internet,Used a few times
49,acquisition,1,4,0,9.0,15.0,29.0,4042.0,student,llm_internet,Used a few times
49,magnification,4,2,0,9.0,10.0,20.0,3646.0,student,llm_internet,Used a few times
49,formulation,6,4,0,1.0,4.0,8.0,1436.0,student,llm_internet,Used a few times
49,release,8,2,0,3.0,6.0,11.0,1170.0,student,llm_internet,Used a few times
50,ideation,0,4,0,3.0,0.0,9.0,1423.0,student,internet_only,Use almost every day
50,acquisition,1,3,0,10.0,0.0,14.0,2075.0,student,internet_only,Use almost every day
50,magnification,1,0,0,8.0,0.0,21.0,3335.0,student,internet_only,Use almost every day
50,formulation,6,4,6,2.0,0.0,11.0,1971.0,student,internet_only,Use almost every day
50,release,4,3,0,4.0,0.0,13.0,2475.0,student,internet_only,Use almost every day
51,ideation,5,6,2,7.0,0.0,38.0,1733.0,student,internet_only,Use almost every day
51,acquisition,1,4,1,4.0,0.0,32.0,2028.0,student,internet_only,Use almost every day
51,magnification,3,2,2,7.0,0.0,36.0,3900.0,student,internet_only,Use almost every day
51,formulation,1,1,0,4.0,0.0,36.0,1461.0,student,internet_only,Use almost every day
51,release,3,4,0,3.0,0.0,33.0,1739.0,student,internet_only,Use almost every day
52,ideation,8,5,1,2.0,0.0,11.0,2202.0,student,internet_only,Use almost every day
52,acquisition,1,2,0,7.0,0.0,12.0,1981.0,student,internet_only,Use almost every day
52,magnification,1,0,0,6.0,0.0,11.0,3248.0,student,internet_only,Use almost every day
52,formulation,4,1,0,4.0,0.0,7.0,1165.0,student,internet_only,Use almost every day
52,release,2,2,1,4.0,0.0,31.0,6135.0,student,internet_only,Use almost every day
53,ideation,7,5,1,8.0,0.0,6.0,1912.0,student,internet_only,Use almost every day
53,acquisition,3,5,0,3.0,0.0,39.0,2408.0,student,internet_only,Use almost every day
53,magnification,3,1,2,2.0,0.0,7.0,607.0,student,internet_only,Use almost every day
53,formulation,5,3,0,3.0,0.0,9.0,612.0,student,internet_only,Use almost every day
53,release,3,2,0,1.0,0.0,31.0,887.0,student,internet_only,Use almost every day
54,ideation,10,8,2,5.0,0.0,15.0,3490.0,expert,llm_internet,Never used
54,acquisition,8,5,0,10.0,0.0,22.0,3605.0,expert,llm_internet,Never used
54,magnification,8,4,0,4.0,0.0,16.0,1842.0,expert,llm_internet,Never used
54,formulation,5,4,0,2.0,0.0,10.0,1452.0,expert,llm_internet,Never used
54,release,3,4,0,3.0,0.0,11.0,1282.0,expert,llm_internet,Never used
55,ideation,2,6,2,4.0,13.0,1.0,1745.0,expert,llm_internet,Used a few times
55,acquisition,6,7,4,3.0,6.0,69.0,3489.0,expert,llm_internet,Used a few times
55,magnification,4,4,0,1.0,7.0,28.0,1483.0,expert,llm_internet,Used a few times
55,formulation,7,5,4,2.0,4.0,1.0,1050.0,expert,llm_internet,Used a few times
55,release,8,1,1,5.0,10.0,59.0,2262.0,expert,llm_internet,Used a few times
56,ideation,4,7,1,6.0,0.0,24.0,2553.0,expert,internet_only,Used a few times
56,acquisition,7,7,0,7.0,0.0,34.0,2521.0,expert,internet_only,Used a few times
56,magnification,3,3,0,2.0,0.0,15.0,1457.0,expert,internet_only,Used a few times
56,formulation,3,2,0,5.0,0.0,18.0,2817.0,expert,internet_only,Used a few times
56,release,4,2,0,2.0,0.0,7.0,560.0,expert,internet_only,Used a few times
57,ideation,6,3,0,6.0,0.0,22.0,2361.0,student,internet_only,Use at least once every few weeks
57,acquisition,6,4,0,8.0,0.0,14.0,7033.0,student,internet_only,Use at least once every few weeks
57,magnification,2,0,1,6.0,0.0,11.0,580.0,student,internet_only,Use at least once every few weeks
57,formulation,0,1,0,10.0,0.0,15.0,1428.0,student,internet_only,Use at least once every few weeks
57,release,4,1,0,3.0,0.0,15.0,1408.0,student,internet_only,Use at least once every few weeks
58,ideation,8,5,1,1.0,9.0,7.0,1854.0,expert,llm_internet,Never used
58,acquisition,1,5,0,3.0,28.0,3.0,5806.0,expert,llm_internet,Never used
58,magnification,8,8,0,3.0,14.0,3.0,1540.0,expert,llm_internet,Never used
58,formulation,4,2,0,1.0,3.0,1.0,1001.0,expert,llm_internet,Never used
58,release,8,3,2,1.0,6.0,0.0,1379.0,expert,llm_internet,Never used
59,ideation,2,2,1,1.0,0.0,6.0,2558.0,expert,internet_only,Used a few times
59,acquisition,1,0,4,6.0,0.0,6.0,4204.0,expert,internet_only,Used a few times
59,magnification,3,1,2,2.0,0.0,11.0,2797.0,expert,internet_only,Used a few times
59,formulation,4,2,4,1.0,0.0,8.0,1014.0,expert,internet_only,Used a few times
59,release,2,1,1,1.0,0.0,1.0,740.0,expert,internet_only,Used a few times
60,ideation,7,4,2,5.0,17.0,7.0,3358.0,student,llm_internet,Use almost every day
60,acquisition,1,6,0,7.0,11.0,2.0,1814.0,student,llm_internet,Use almost every day
60,magnification,8,3,0,6.0,8.0,4.0,1842.0,student,llm_internet,Use almost every day
60,formulation,5,3,0,2.0,5.0,0.0,1011.0,student,llm_internet,Use almost every day
60,release,4,2,0,2.0,4.0,2.0,748.0,student,llm_internet,Use almost every day
61,ideation,8,4,2,2.0,0.0,6.0,820.0,student,internet_only,Use almost every day
61,acquisition,1,3,0,8.0,0.0,18.0,6900.0,student,internet_only,Use almost every day
61,magnification,5,2,0,6.0,0.0,13.0,3885.0,student,internet_only,Use almost every day
61,formulation,0,2,0,10.0,0.0,12.0,3720.0,student,internet_only,Use almost every day
61,release,2,0,0,3.0,0.0,2.0,171.0,student,internet_only,Use almost every day
62,ideation,8,5,3,1.0,8.0,8.0,1738.0,expert,llm_internet,Used a few times
62,acquisition,0,5,0,10.0,9.0,6.0,3481.0,expert,llm_internet,Used a few times
62,magnification,3,4,0,8.0,4.0,16.0,2973.0,expert,llm_internet,Used a few times
62,formulation,6,5,2,5.0,6.0,13.0,2784.0,expert,llm_internet,Used a few times
62,release,3,2,0,2.0,13.0,19.0,3966.0,expert,llm_internet,Used a few times
63,ideation,8,6,2,8.0,0.0,24.0,4030.0,expert,internet_only,Used a few times
63,acquisition,2,1,0,10.0,0.0,19.0,1787.0,expert,internet_only,Used a few times
